Id,Sentence,Categories,Target Party,Specificity,Split
25,"And I also want to thank, amongst my many key advisors, I wish to acknowledge our National Secretary, George Wright.",Expressive,Labor,,
26,"I do have some very key advisors, they know who they are, but I know that my success is their success.",Assertive,Labor,,
27,Thank you very much to the team that's been travelling with me.,Expressive,Other,,
28,"And the Bill bus, love that.",Expressive,Other,,
29,"But on a more serious note, I think I speak for all of us who are in politics, no one in public life can serve in politics without the love and support of our families.",Assertive,Other,,
30,"Chloe – wherever you went in this campaign, you brought the sunshine with you.",Assertive,Other,,
31,"The secret is out, you all know how lucky I am.",Expressive,Other,,
32,"And to my children – Rupert, Georgette and Clementine – you mean everything to me.",Assertive,Other,,
33,Thank you for the last four years.,Expressive,Other,,
34,"Friends as happy and proud as we should be tonight, it is not about us.",Assertive,Other,,
35,"Tonight is about the Australian people: their lives, their futures, the country that they want to live in.",Assertive,Other,,
36,The dreams they have for them and their families.,Assertive,Other,,
37,And after the longest campaign in 50 years – it is time for our parliament to get back to work.,Assertive,Other,,
38,"Millions of Australians have voted for Labor, expecting us to do just that.",Assertive,Labor,,
39,Labor ran for government as a strong and united team.,Assertive,Labor,,
40,We ran as the party with the most comprehensive policy agenda for this election and the plan to pay for it.,Assertive,Labor,,
41,"<LIST> Tonight, we stand by our program, our mandate:",Directive,Labor,,1.0
42,<li> -       Jobs with fair pay and penalty rates </li> ,Assertive,Labor,,1.0
43,<li>  -       Education and Gonski </li> ,Assertive,Labor,,1.0
44,<li>  -       NBN </li> ,Assertive,Labor,,1.0
45,<li>  -       Affordable Housing and reform of negative gearing. </li> ,Assertive,Labor,,
46,<li>  -       Real action on climate change </li> ,Assertive,Labor,,1.0
47,<li>  -       And protecting our great national institution and one the greatest Labor achievements – Medicare. </li>  </LIST>,Assertive,Labor,,
48,"I promise Australians, the Labor Party I lead will endeavour to find common ground with people of good will in the 45th parliament.",Commissive-A,Labor,Vague,
49,People who have been elected to serve their communities and are intent upon doing that.,Assertive,Other,,
50,"In that spirit, I wish to congratulate every member, from all parties and those independent of party, those who've been newly elected tonight.",Expressive,Other,,
51,"And equally, offer my commiserations to those who have lost their seats.",Expressive,Other,,
52,"Being called to serve your country in our Parliament, for any period of time is a rare honour and privilege indeed.",Expressive,Other,,
53,And I thank the people of Maribyrnong for entrusting me with that great responsibility on a fourth occasion.,Expressive,Other,,
54,"My fellow Australians, we live in a remarkable and gifted country.",Assertive,Other,,
55,"We are a generous, diverse nation, enlarged by the compassion and courage of all who call it home.",Assertive,Other,,
56,"At this election, Labor has shown we are a party for all Australians from every generation and in every part of our nation.",Assertive,Labor,,
57,"In our cities and our regions, from the grand country towns to new and growing suburbs.",Assertive,Labor,,
58,"Battlers and small business people, our farmers and our teachers.",Assertive,Labor,,
59,"We are the party for the first Australians and all those who have followed from every faith, and every nation and every tradition.",Assertive,Labor,,
60,We are the party for people who love each other and deserve the right to get married.,Assertive,Labor,,
61,We are the party for women seeking equal opportunity at work and apprentices looking for a start and older workers looking for a new start.,Assertive,Labor,,
62,We are the party that includes every citizen of the great Australian aspiration of the fair go all round.,Assertive,Labor,,
63,We are the party for the people whose voice all too often goes unheard.,Assertive,Labor,,
64,"And I in particular tonight, I say to all those Australians who feel marginalised and forgotten, alienated and excluded.",Assertive,Labor,,
65,And to all those Australians who feel politics as usual simply doesn’t work for them.,Assertive,Labor,,
66,Labor will not leave you behind.,Commissive-O,Labor,,
67,Labor will not let you down.,Commissive-O,Labor,,
68,"Friends,",Assertive,Other,,1.0
69,"We are the party for all those who serve, all who strive, all who care for one another, all who make our country what it is.",Assertive,Labor,,
70,"Your futures and your opportunities, this will always be our mission.",Assertive,Labor,,
71,"Together, there is nothing that we cannot achieve.",Assertive,Labor,,
72,"Together, we will build a better country, for all Australians.",Commissive-O,Labor,,
73,Thank you very much for your support.,Expressive,Other,,
