Id,Sentence,Categories,Target Party,Specificity,Split
129,We have seen this week how tough the fight will be.,Assertive,Labor,,
130,"But on your behalf, on Labor's behalf, I say that we will see their lies and their negativity off. ",Assertive,Labor,,
131,We will fight on our positive plans to build a better Australia.,Commissive-A,Labor,Vague,
132,We have a great story to tell in this country. ,Assertive,Labor,,
133,And Labor has a great story to tell about the future of our nation.,Assertive,Labor,,
134,Now we need you to help spread the word. ,Assertive,Labor,,
135,"To tell your family, your friends, your colleagues, your classmates, your workmates, your team mates, just what is at stake on July 2. ",Assertive,Labor,,
136,"Already over 5000 volunteers have knocked on 80,000 doors and nearly 140,000 phone calls.",Assertive,Labor,,
137,"But we haven't even begun to fight yet, have we? ",Interrogative,Labor,,
138,"Within the next six weeks we're aiming for much, much more.",Assertive,Labor,,
139,"As a party we dedicate ourselves to the idea that by July 2, we will have given Australians everything that we have to offer.",Assertive,Labor,,
140,"That we can have one million conversations with Australians during our campaign about our plans for a positive future, our vision for the country. ",Assertive,Labor,,
141,One million conversations - is that within our capacity to deliver?,Interrogative,Labor,,
142,My word it is. ,Assertive,Labor,,
143,This is all about the choices. ,Assertive,Labor,,
144,Labor has found its voice again. ,Assertive,Labor,,
145,We are united. ,Assertive,Labor,,
146,"If we on Election Day are able to ensure that Australians know what our party stands for, together we can deliver real progress in this country.",Assertive,Labor,,
147,"Together, even though we are the underdogs, we can make history. ",Assertive,Labor,,
148,"Because we will go one day longer, one conversation longer, one more bit of energy and energy longer. ",Assertive,Labor,,
149,Because a Labor government will always put people first.,Assertive,Labor,,
150,Thank you very much.,Expressive,Other,,
